Producto;IRC;EAN;DESCRIPCION;LOTE;ESTADO INV;ESTADO LOTE;ALMACEN;PASILLO;COLUMNA;NIVEL;DIG;STOCK
0-192-031-080;99350029450;3614227962897;MF - MIR TOUCH FND BRONZE 80;427000;DIS;DIS;COTY;026;266;01;22;112
0-192-202-002;99350212064;3616305711687;MF - MIR PURE LIQ FND FAIR TO LIGHT 02;4282;DIS;DIS;COTY;026;266;02;14;85
0-112-420-160;99350226008;3616304825088;RIM - LF BASE 35HS - 160;4142;DIS;DIS;COTY;026;266;03;78;427
0-061-217-269;99350213699;3616305721129;SH - CT SOLIDARITY DOVE  269;4319;DIS;DIS;COTY;026;266;04;96;25
0-510-022-;2051002200002;2051002200002;NAUT - GWP VOY M EDT 50ML;3327;DIS;DIS;COTY;026;281;02;5;26
0-256-212-;99350160412;3616304892790;DB INSTINCT BOLD EDP 50ML;4256;DIS;DIS;COTY;026;281;04;13;70
0-412-189-006;99350198415;3616305490636;RIM - TST BASE MULTITASKER BTF - 006;3332;DIS;DIS;COTY;026;281;50;22;200
0-446-194-;99350198986;3616305447296;ADI HAPPY FEELS EDP 100ML TST;4254;DIS;DIS;COTY;026;281;60;72;192
0-511-014-;99350236183;3616306693586;NAUTICA BLUE TST 100ML;4326;DIS;DIS;COTY;026;281;70;71;168
0-293-902-;7795646039028;7795646039028;RISQUE - COD UNI MILAO GRANDE;5015C2         ;DIS;DIS;COTY;026;281;80;96;5
0-112-840-500;99350180069;3616304825255;RIM - BASE LASTING FINISH HB 35HS - 500;4017;DIS;DIS;COTY;026;281;90;76;537
0-111-520-002;34223421002;3614224525125;RIM - MAGNIF PALET - 002;430601;DIS;DIS;COTY;026;282;02;42;111
0-256-222-;99350183295;3616304900853;DB TRUE INSTINCT EDP 50ML;4159;DIS;DIS;COTY;026;282;03;33;10
0-192-204-060;99350227621;3616306343917;MF - MIRACLE PURE HYDRATANT ESSENCE 60;4169;DIS;DIS;COTY;026;282;20;35;800
0-409-345-840;99350055322;3616301231240;RIM-TST LABIAL BARRA LF EXTR MATTE -840;3159;DIS;DIS;COTY;026;282;30;10;90
0-293-045-030;24610-;7891350037005;RISQUE - CHA BRANCO LINEA GEL;5051C1         ;DIS;DIS;COTY;026;282;50;3;1002
0-112-400-150;99350227954;3616306361447;RIM - KF BASE HIDR - 150;4330;DIS;DIS;COTY;026;282;60;11;507
0-109-529-110;99350161580;3616304350474;RIM - LAST MEGA MAT LAB LIQ - 110;4201;DIS;DIS;COTY;026;282;80;55;585
0-112-828-020;99350122261;3616302989669;RIM - KF CORRECT - 020;5017;DIS;DIS;COTY;026;282;90;23;1200
0-062-214-;99350209758;3616305064356;PAP PARIS EDP 100ML;4162S1         ;DIS;DIS;COTY;026;282;95;94;1224
0-112-400-210;99350227963;3616306361539;RIM - KF BASE HIDR - 210;4269;DIS;DIS;COTY;026;283;02;91;183
0-192-202-003;99350212066;3616305711700;MF - MIR PURE LIQ FND LIGHT 03;4323;DIS;DIS;COTY;026;283;03;4;84
0-111-526-;99350107650;3616302880218;RIM - TMT WONDER SERUM;5085;DIS;DIS;COTY;026;283;04;18;657
0-146-196-;99350245347;3616306699793;ADI - VIBES HAPPY FEELS BM 236ML;5098;DIS;DIS;COTY;026;284;01;59;33
0-556-122-;2055612200001;2055612200001;DB - GWP CLASSIC HOMME EDT 50ML;3045;DIS;DIS;COTY;026;284;02;48;30
0-409-221-048;34857471048;3614221093245;RIM - TST LABIAL BARRA LF NUDE - 048;3286;DIS;DIS;COTY;026;284;04;43;3
0-146-176-;99350245344;3616307080699;ADI - VIBES CHILL ZONE BM 236ML;5080;DIS;DIS;COTY;026;285;01;34;30
0-182-134-;99350209855;3616305629425;CHAN - VANILLA EDT 100ML;4323S1         ;DIS;DIS;COTY;026;285;02;75;21
0-061-217-144;99350213700;3616305721136;SH - CT SERENITY STONE  144;4337;DIS;DIS;COTY;026;285;03;10;269
0-061-217-350;99350213698;3616305721112;SH - CT YES YOU CAN  350;5030;DIS;DIS;COTY;026;285;04;46;228
0-112-840-160;99350180058;3616304825088;RIM - BASE LASTING FINISH HB 35HS - 160;3320;DIS;DIS;COTY;026;286;02;58;365
0-112-400-400;99350227947;3616306361379;RIM - KF BASE HIDR - 400;4260;DIS;DIS;COTY;026;286;03;81;10
0-293-047-;24629-;7891350037197;RISQUE - TOP COAT LINEA GEL;5048C1         ;DIS;DIS;COTY;026;286;04;69;268
0-293-000-390;8772-;7891182019996;RISQUE- ESCARLATE 390;5114C1         ;DIS;DIS;COTY;026;291;02;67;550
0-362-234-;99350209774;3616305064431;PAP - TST  LONDON MEN EDP 100ML;4351S1         ;DIS;DIS;COTY;026;291;03;72;19
0-061-217-270;99350212305;074170443660;SH - CT MAUVE MANTRA  270;5009;DIS;DIS;COTY;026;291;04;6;28
0-061-130-;99350051412;074170451177;SH - INSTA DRI ANTI CHIP LATIN N;5048;DIS;DIS;COTY;026;291;50;5;3456
0-146-206-;99350245348;3616307080712;ADI - VIBES GET COMFY BM 236ML;5079;DIS;DIS;COTY;026;291;60;17;1200
0-112-829-410;99350122335;3616302990122;RIM - BASE KIND & FREE SKIN TINT - 410;2256;DIS;PAV;COTY;026;292;01;55;21
0-061-217-454;99350212317;3616305212610;SH - CT DRESSED TO CHILL  454;5008;DIS;DIS;COTY;026;292;02;31;167
0-112-401-210;99350228011;3616306361928;RIM - KF BASE MATTE - 210;4296;DIS;DIS;COTY;026;292;03;88;214
0-412-904-;2041290400000;2041290400000;RML - LOW COST;6216;SCR;DIS;COTY;026;292;20;91;1
0-256-212-;99350160412;3616304892790;DB INSTINCT BOLD EDP 50ML;4256;DIS;DIS;COTY;026;292;50;64;939
0-112-401-160;99350228000;3616306361812;RIM - KF BASE MATTE - 160;4309;DIS;DIS;COTY;026;293;02;49;304
0-192-203-002;99350212778;3616305782649;MF - MIR PURE GOLD BRONZER 02;4324;DIS;DIS;COTY;026;293;03;21;168
0-112-829-400;99350122336;3616302990139;RIM - BASE KIND & FREE SKIN TINT - 400;4144;DIS;DIS;COTY;026;293;04;11;266
0-111-518-001;99350061798;3616301246398;RIM - SCANDAL RETR DELI - BLACK 001;504203;DIS;DIS;COTY;026;294;01;94;303
0-111-151-001;99350208420;3616305519986;RIM - WONDER BOND MASC - 001;4222;E32;DIS;COTY;026;294;02;88;9
0-410-224-090;2041022409004;2041022409004;RIM GWP SGEL N/P 12 ML PORCELAIN IV 090;2287;DIS;PAV;COTY;026;294;03;32;24
0-190-007-001;00081615696;96145722;MF - BROW SHAPER PENCIL 10;430201;DIS;DIS;COTY;026;296;01;28;16
0-061-120-;99350051414;074170451092;SH - DBL DUTY TP LATIN  V3;5015;DIS;DIS;COTY;026;296;02;76;240
0-112-210-040;99350062625;3616301273165;RIM - MULTITSK CORRECT - 040;4319;DIS;DIS;COTY;026;296;03;81;891
0-556-124-;99350158676;3616303462581;DB HOM EDT 100ML TST;4204;DIS;DIS;COTY;026;296;04;71;86
0-061-558-230;99350170002;3616302736256;SH - MG VEG SKI BUNNY  230;5024;DIS;DIS;COTY;026;301;01;47;26
